Title,Cuisine,Cooking Time (mins),Ingredients,Description
Tempura,Italian,112,"Noodles, broth, pork, egg, green onions","Heat a pan over medium heat. Add 2 tablespoons of oil. Sauté 1 chopped onion until golden. Add 2 cloves of minced garlic and cook for 1 minute. Stir in 1 teaspoon of salt, 1/2 teaspoon of pepper, and 1 teaspoon of paprika. Add 1 pound of chicken and cook until browned. Pour in 2 cups of broth and simmer for 20 minutes."
Green Curry,Italian,47,"Pasta, tomato sauce, cheese, ground beef, basil","Bring 6 cups of water to a boil. Add 2 cups of pasta and 1 teaspoon of salt. Cook for 10 minutes, then drain. In a saucepan, melt 2 tablespoons of butter, add 1/2 cup of cream, and 1/2 cup of grated cheese. Stir until smooth. Mix with the pasta and serve warm."
Dal Tadka,Italian,14,"Egusi seeds, spinach, stockfish, palm oil","Chop 2 potatoes, 1 carrot, and 1 onion. Heat 2 tablespoons of oil in a pot. Sauté the onion for 3 minutes. Add the potatoes and carrots, followed by 4 cups of vegetable broth. Season with 1 teaspoon of salt and 1/2 teaspoon of thyme. Simmer for 20 minutes until tender."
Taco Salad,French,56,"Dough, ground meat, onions, salt, pepper","Heat a pan over medium heat. Add 2 tablespoons of oil. Sauté 1 chopped onion until golden. Add 2 cloves of minced garlic and cook for 1 minute. Stir in 1 teaspoon of salt, 1/2 teaspoon of pepper, and 1 teaspoon of paprika. Add 1 pound of chicken and cook until browned. Pour in 2 cups of broth and simmer for 20 minutes."
Egusi Soup,Indian,65,"Pasta, tomato sauce, cheese, ground beef, basil","Preheat oven to 375°F (190°C). Grease a baking dish with 1 tablespoon of butter. In a bowl, mix 2 cups of flour, 1 teaspoon of baking powder, and 1/2 teaspoon of salt. In another bowl, whisk 1 cup of milk, 1 egg, and 1/2 cup of sugar. Combine wet and dry ingredients, pour into the baking dish, and bake for 25 minutes."
Burrito,Indian,38,"Yam flour, water","Heat a pan over medium heat. Add 2 tablespoons of oil. Sauté 1 chopped onion until golden. Add 2 cloves of minced garlic and cook for 1 minute. Stir in 1 teaspoon of salt, 1/2 teaspoon of pepper, and 1 teaspoon of paprika. Add 1 pound of chicken and cook until browned. Pour in 2 cups of broth and simmer for 20 minutes."
Pizza Margherita,Thai,19,"Chickpeas, tahini, lemon, garlic, olive oil","Chop 2 potatoes, 1 carrot, and 1 onion. Heat 2 tablespoons of oil in a pot. Sauté the onion for 3 minutes. Add the potatoes and carrots, followed by 4 cups of vegetable broth. Season with 1 teaspoon of salt and 1/2 teaspoon of thyme. Simmer for 20 minutes until tender."
Hummus,Mexican,57,"Pasta, tomato sauce, cheese, ground beef, basil","Preheat oven to 375°F (190°C). Grease a baking dish with 1 tablespoon of butter. In a bowl, mix 2 cups of flour, 1 teaspoon of baking powder, and 1/2 teaspoon of salt. In another bowl, whisk 1 cup of milk, 1 egg, and 1/2 cup of sugar. Combine wet and dry ingredients, pour into the baking dish, and bake for 25 minutes."
Borscht,Mexican,43,"Beetroot, cabbage, potatoes, carrots, dill","Bring 6 cups of water to a boil. Add 2 cups of pasta and 1 teaspoon of salt. Cook for 10 minutes, then drain. In a saucepan, melt 2 tablespoons of butter, add 1/2 cup of cream, and 1/2 cup of grated cheese. Stir until smooth. Mix with the pasta and serve warm."
Shakshuka,Russian,40,"Beetroot, cabbage, potatoes, carrots, dill","Heat a pan over medium heat. Add 2 tablespoons of oil. Sauté 1 chopped onion until golden. Add 2 cloves of minced garlic and cook for 1 minute. Stir in 1 teaspoon of salt, 1/2 teaspoon of pepper, and 1 teaspoon of paprika. Add 1 pound of chicken and cook until browned. Pour in 2 cups of broth and simmer for 20 minutes."
