Title,Cuisine,Cooking Time (mins),Ingredients,Description
Spaghetti Carbonara,Italian,25,"Spaghetti, eggs, pancetta, Parmesan, black pepper",A classic Italian pasta dish with creamy egg sauce.
Chicken Biryani,Indian,60,"Basmati rice, chicken, yogurt, onions, spices",A flavorful rice dish layered with spiced chicken.
Sushi Roll,Japanese,50,"Sushi rice, nori, salmon, cucumber, soy sauce",A Japanese dish with vinegared rice and fresh fillings.
Tacos al Pastor,Mexican,40,"Pork, pineapple, corn tortillas, onions, cilantro",Traditional Mexican street food with marinated pork.
French Onion Soup,French,90,"Onions, beef broth, Gruyère cheese, baguette",A rich and savory French soup with caramelized onions.
Pad Thai,Thai,30,"Rice noodles, shrimp, peanuts, lime, fish sauce",A popular Thai stir-fried noodle dish with a tangy sauce.
Beef Stroganoff,Russian,45,"Beef, mushrooms, sour cream, onions, butter",A creamy Russian beef dish served with pasta or rice.
Falafel,Middle Eastern,35,"Chickpeas, garlic, cumin, coriander, parsley","A crispy, spiced chickpea fritter popular in the Middle East."
Chow Mein,Chinese,25,"Egg noodles, soy sauce, cabbage, chicken, carrots",A Chinese stir-fried noodle dish with vegetables and protein.
Jollof Rice,West African,50,"Rice, tomatoes, onions, bell peppers, thyme",A vibrant and flavorful rice dish common in West Africa.
